TrackingNumber,Carrier,DeliveryDate
00421805912,Canada Post,1/27/2018
00900525485,eShipper,1/13/2016
00647274301,DHL Express,8/15/2016
00950392689,eShipper,7/2/2020
00582529310,DHL Express,12/29/2020
00105685219,Purolator,2/27/2015
00673122419,Canada Post,12/5/2013
00448822575,Canada Post,11/3/2015
00835645746,eShipper,12/9/2013
00495244975,eShipper,4/2/2016
00535291315,eShipper,1/21/2015
00241307614,Canada Post,10/17/2018
00341429442,DHL Express,10/26/2012
00042794586,Canada Post,12/1/2016
00295058524,Canpar Express,5/7/2018
00033871346,DHL Express,7/9/2011
00228391358,Canada Post,5/22/2017
00946089444,Purolator,9/13/2021
00246281348,Canada Post,9/20/2019
00588366327,eShipper,5/10/2019
00820128966,Freightera,2/2/2010
00607482575,Canada Post,11/9/2018
00671962415,Canpar Express,6/2/2013
00812316529,Purolator,1/6/2011
00642913331,Freightera,4/9/2019
00330845562,DHL Express,5/12/2020
00613856427,Canada Post,8/13/2016
00166049875,Purolator,2/10/2011
00536669245,Canada Post,2/13/2014
00351632678,DHL Express,3/25/2021
00746561800,Purolator,4/13/2013
00198094350,eShipper,3/27/2013
00961943114,Canpar Express,6/14/2013
00281773355,DHL Express,9/5/2019
00524035186,eShipper,5/5/2015
00266143209,Freightera,8/22/2011
00857955278,Canada Post,8/14/2016
00804039444,DHL Express,1/12/2013
00544365442,Purolator,10/11/2016
00458486748,Canpar Express,4/7/2016
00955383041,DHL Express,4/25/2012
00795770425,Freightera,10/17/2018
00883845702,Canpar Express,1/17/2020
00874754867,Purolator,11/28/2017
00865201858,DHL Express,6/30/2015
00872552287,Purolator,12/15/2016
00364548876,Freightera,11/10/2012
00253918678,eShipper,5/25/2020
00980019974,Purolator,2/27/2019
00005897022,Freightera,6/29/2019
00325679376,Purolator,12/9/2019
00819238537,DHL Express,6/20/2015
00310215221,Freightera,8/16/2019
00717647899,DHL Express,11/19/2015
00434723886,eShipper,1/9/2018
00869249111,Canada Post,6/16/2014
00102998380,Freightera,2/4/2012
00645842816,Freightera,1/22/2010
00599196725,Canpar Express,4/27/2020
00807825180,Purolator,2/3/2016
00680689504,Freightera,3/30/2014
00025179164,Purolator,11/22/2017
00183865306,DHL Express,7/14/2020
00683324205,Purolator,3/14/2018
00521511392,Freightera,10/17/2014
00000456630,Canpar Express,4/11/2011
00978666822,Canpar Express,8/16/2020
00265031203,Purolator,6/23/2020
00526253559,Purolator,1/31/2011
00114395979,DHL Express,11/16/2010
00807288909,Freightera,9/11/2016
00623639296,Purolator,3/27/2011
00009982788,DHL Express,1/26/2016
00670071155,Canpar Express,4/16/2019
00122287074,DHL Express,9/6/2016
00100942479,DHL Express,9/6/2016
00125226755,Canpar Express,1/11/2014
00008614135,Purolator,6/19/2010
00803202064,Canada Post,3/2/2017
00124538121,Canpar Express,6/25/2013
00837649150,Canada Post,3/2/2017
00343095222,Purolator,8/17/2017
00583171652,Canpar Express,12/2/2018
00875661332,eShipper,5/23/2021
00515452350,eShipper,6/2/2012
00130859349,eShipper,11/1/2018
00726116150,DHL Express,4/12/2013
00396845535,DHL Express,9/13/2019
00378654077,Purolator,8/4/2012
00359413815,Freightera,1/30/2017
00259743763,Canpar Express,1/11/2013
00826985912,Purolator,12/18/2014
00563669556,Purolator,7/15/2012
00657913369,Purolator,12/2/2018
00736003567,Canada Post,10/21/2015
00996866855,Canpar Express,3/31/2014
00519630872,DHL Express,3/13/2017
00074620055,DHL Express,1/15/2011
00696149014,Freightera,4/8/2017
00480052825,DHL Express,11/18/2017
00245955792,DHL Express,8/24/2016
00999954869,Canpar Express,12/14/2020
00026977900,Canpar Express,11/22/2015
00570442632,DHL Express,12/26/2017
00496549005,eShipper,10/3/2017
00243775357,Canpar Express,8/31/2010
00479855025,Purolator,7/28/2019
00009148001,Purolator,4/5/2018
00536105219,DHL Express,5/2/2018
00454284301,Canpar Express,3/28/2015
00006133331,eShipper,3/16/2012
00926285916,Freightera,2/26/2018
00625364231,Freightera,1/19/2018
00031297402,DHL Express,5/15/2018
00565336408,Freightera,7/18/2017
00740447827,eShipper,3/29/2013
00729580557,eShipper,9/2/2011
00984391749,Canada Post,9/1/2020
00026255565,DHL Express,8/19/2013
00181630057,Freightera,10/22/2015
00947589290,Canpar Express,9/23/2018
00349354750,Canada Post,7/9/2019
00728445782,Purolator,2/3/2011
00000039307,Freightera,9/19/2017
00420825864,eShipper,7/1/2011
00149669952,eShipper,10/15/2017
00734082739,Canada Post,10/16/2010
00127009654,Freightera,10/20/2010
00808328582,Freightera,4/14/2015
00191719433,Purolator,3/20/2015
00670709562,Purolator,12/8/2018
00993885245,Canpar Express,11/22/2016
00675047162,Canada Post,12/8/2019
00024275202,eShipper,5/30/2021
00777805414,Purolator,5/22/2016
00642311607,Canpar Express,2/3/2015
00854530853,Canada Post,8/22/2011
00253952444,Freightera,1/10/2013
00047605682,DHL Express,8/9/2018
00415329796,Purolator,4/16/2019
00728038902,Freightera,7/9/2013
00159547950,Canpar Express,4/29/2014
00579279497,Canada Post,8/20/2011
00441176052,Canada Post,5/26/2017
00164106278,DHL Express,6/21/2010
00009700014,Purolator,2/2/2019
00075531562,Purolator,6/13/2011
00276442141,Canada Post,5/18/2016
00850002165,Freightera,10/25/2014
00462148766,eShipper,2/12/2017
00218830118,DHL Express,2/21/2010
00555907688,Purolator,9/24/2020
00965486759,Freightera,8/15/2016
00697587669,Purolator,8/17/2011
00801706729,DHL Express,1/9/2020
00341950317,eShipper,1/10/2016
00815978810,Canada Post,12/6/2011
00930057490,eShipper,3/5/2014
00311242929,Freightera,3/28/2018
00828658304,DHL Express,10/19/2013
00284268471,Freightera,1/23/2015
00600689647,eShipper,8/6/2014
00772268261,Purolator,1/18/2011
00371197296,Freightera,5/22/2014
00771246763,Canada Post,7/18/2011
00188018244,Canada Post,10/1/2015
00327445781,Purolator,1/19/2012
00470086246,Freightera,7/13/2019
00318466454,Canada Post,2/5/2018
00288663997,Canada Post,6/28/2020
00357117199,Canpar Express,5/1/2012
00475416029,DHL Express,10/31/2011
00044160442,Freightera,4/30/2018
00889366115,DHL Express,9/1/2018
00511615872,Freightera,12/12/2014
00853774740,DHL Express,10/30/2012
00653233091,Canada Post,10/16/2016
00011640089,eShipper,3/3/2016
00014881266,Canpar Express,8/9/2019
00485355767,DHL Express,7/28/2013
00317285894,Canpar Express,12/25/2019
00916529055,Canada Post,10/15/2018
00126536955,DHL Express,11/27/2015
00190648211,eShipper,8/1/2019
00535216438,eShipper,7/11/2019
00255266323,Freightera,12/20/2021
00611530637,DHL Express,4/6/2014
00455971255,Canada Post,12/8/2013
00589128726,Canpar Express,11/14/2018
00564603017,Canpar Express,11/1/2014
00296214325,Canada Post,5/2/2017
00775681286,DHL Express,4/7/2019
00010026431,Canpar Express,12/11/2012
00601077659,DHL Express,7/11/2015
00520979789,DHL Express,7/15/2019
00200262832,eShipper,5/28/2015
00558617722,Canpar Express,4/25/2015
00718920208,Purolator,10/13/2013
00339349237,Purolator,1/6/2020
00510522006,Freightera,4/24/2011
00720813585,Canada Post,4/3/2017
00682607846,Canpar Express,3/24/2019
00139763760,Freightera,6/24/2017
00442967374,Canpar Express,4/26/2011
00736505330,Canpar Express,10/10/2015
00179943643,DHL Express,1/18/2017
00628822475,Canada Post,7/27/2020
00298113792,DHL Express,1/28/2018
00092852513,DHL Express,8/6/2015
00015872792,Canada Post,7/11/2018
00585835470,Canpar Express,9/24/2017
00658884921,DHL Express,1/15/2012
00030038272,Canpar Express,5/28/2014
00243322536,Canada Post,3/5/2015
00429024485,Purolator,12/10/2018
00710477115,DHL Express,2/7/2019
00914476765,Canpar Express,4/5/2014
00444252291,Canpar Express,7/8/2018
00492618643,Purolator,12/28/2017
00290329188,Purolator,2/28/2014
00927104681,Canpar Express,6/3/2019
00376625845,Purolator,1/8/2013
00226467623,Canada Post,9/20/2015
00714997170,Purolator,11/7/2019
00487788508,Purolator,8/18/2014
00512051241,Freightera,1/23/2011
00097974384,Freightera,2/24/2012
00511054032,Canpar Express,5/24/2013
00649619189,DHL Express,7/3/2021
00853243876,Freightera,4/11/2013
00610884274,Purolator,7/25/2014
00855472806,DHL Express,10/4/2017
00093947847,eShipper,10/24/2017
00476231705,Freightera,12/1/2015
00840421699,Canpar Express,4/23/2010
00197520682,eShipper,5/22/2018
00715737793,Freightera,8/1/2011
00478926079,Canpar Express,1/15/2015
00165109810,eShipper,3/21/2018
00478823002,Freightera,2/9/2013
00856503331,DHL Express,4/25/2016
00841129232,Freightera,4/11/2014
00865734261,Purolator,6/18/2013
00830641243,Freightera,12/17/2010
00993496327,Canada Post,12/18/2011
00263606503,DHL Express,3/26/2019
00365343496,Canpar Express,10/26/2016
00177309890,eShipper,2/3/2011
00700002483,eShipper,5/23/2015
00449184210,eShipper,9/14/2010
00271591424,Freightera,1/8/2011
00348084585,Purolator,9/3/2019
00593863192,Canpar Express,12/4/2017
00376380199,Purolator,1/20/2013
00579221556,Freightera,8/14/2014
00663151544,eShipper,11/12/2014
00666892396,eShipper,9/17/2017
00696243204,Canpar Express,12/26/2011
00938564830,Canpar Express,3/31/2014
00695166839,Canada Post,5/14/2011
00358793108,Purolator,12/27/2015
00840262273,DHL Express,12/18/2016
00388184302,Purolator,11/3/2021
00861590216,DHL Express,5/19/2016
00557410697,Freightera,2/1/2020
00301000012,DHL Express,3/1/2020
00042710652,Purolator,9/17/2021
00328780049,Canpar Express,8/13/2017
00688535575,Purolator,5/6/2015
00328166674,Canada Post,5/3/2011
00706351809,Purolator,3/6/2013
00080458640,Purolator,4/25/2017
00237656466,Purolator,12/19/2010
00917324273,eShipper,8/7/2010
00479679750,Canada Post,12/28/2012
00060192839,eShipper,4/4/2019
00432485421,eShipper,11/5/2017
00532412171,eShipper,2/3/2016
00783198763,Purolator,10/11/2018
00609400516,Canpar Express,8/21/2015
00224470228,Purolator,7/20/2012
00146841501,DHL Express,9/22/2015
00840632992,Purolator,11/12/2019
00854484062,Freightera,10/24/2011
00420102725,DHL Express,3/24/2017
00279381518,Freightera,7/27/2012
00724195175,Canpar Express,6/19/2019
00771838967,Canpar Express,4/30/2013
00370316626,Purolator,8/28/2014
00600051243,Freightera,10/24/2021
00919867479,Canpar Express,4/4/2011
00286336461,eShipper,5/28/2017
00945393908,DHL Express,4/9/2014
00606376574,Canpar Express,4/25/2020
00073921958,Canpar Express,5/27/2015
00801974142,eShipper,1/25/2015
00024605912,eShipper,6/30/2011
00611793165,Canpar Express,9/28/2013
00415420954,Purolator,11/26/2018
00768248975,Canada Post,9/1/2020
00866096612,Canada Post,6/2/2019
00878961681,Purolator,1/11/2019
00830529874,Purolator,12/22/2016
00101493859,Canpar Express,4/6/2017
00030227584,Freightera,7/28/2013
00223430644,Canada Post,12/27/2017
00386368551,Canada Post,11/30/2019
00155956000,Freightera,8/21/2019
00899758356,DHL Express,6/12/2019
00274917316,Purolator,7/24/2014
00638738862,DHL Express,11/12/2016
00423132576,Purolator,3/26/2017
00511866382,Freightera,1/10/2020
00515118815,eShipper,8/25/2020
00565624919,eShipper,11/9/2011
00637308491,Canpar Express,7/12/2012
00295217180,Purolator,3/27/2019
00043732380,DHL Express,1/16/2011
00047132952,Canada Post,9/12/2020
00371853154,Canpar Express,7/22/2018
00662417966,DHL Express,1/8/2018
00364868275,eShipper,6/29/2011
00960255311,Canpar Express,7/19/2018
00139337175,DHL Express,5/4/2017
00988975978,DHL Express,6/11/2019
00623991142,DHL Express,8/10/2012
00520569261,Purolator,9/14/2019
00995894921,Canada Post,5/8/2020
00989718095,Canada Post,9/19/2020
00315836225,Canpar Express,3/3/2019
00140003625,Freightera,3/23/2020
00224648158,Canpar Express,5/12/2017
00513413721,Freightera,5/17/2017
00475444040,eShipper,10/14/2018
00175966879,eShipper,6/19/2013
00885386375,DHL Express,11/24/2016
00819332930,Canpar Express,11/16/2013
00180242111,Canpar Express,8/15/2013
00003824727,eShipper,5/8/2020
00378066208,eShipper,10/26/2010
00965206577,Purolator,10/7/2014
00266470847,Canpar Express,8/8/2015
00223437472,Canada Post,4/15/2012
00517805468,Purolator,1/7/2013
00943846187,Canpar Express,9/4/2020
00716241569,DHL Express,5/15/2010
00403942322,Freightera,6/7/2012
00683584258,DHL Express,8/30/2021
00020811925,eShipper,2/24/2010
00286081797,Canpar Express,8/2/2015
00683616284,Canpar Express,11/12/2013
00364692609,Canada Post,9/7/2018
00304159931,Canada Post,8/22/2016
00990057174,Canada Post,3/9/2020
00643547981,DHL Express,1/21/2016
00143661127,Canada Post,7/20/2015
00582565203,Canpar Express,11/27/2020
00597292248,Canpar Express,7/12/2019
00906862697,eShipper,1/14/2012
00613990086,Canpar Express,2/10/2017
00372109380,DHL Express,8/22/2013
00097831417,Canpar Express,9/4/2012
00177902149,eShipper,3/22/2013
00454756714,eShipper,3/6/2010
00581259278,Freightera,11/19/2016
00220819460,eShipper,4/19/2012
00812635713,DHL Express,7/4/2020
00575295268,Canpar Express,1/30/2019
00399768243,Canada Post,10/26/2019
00520769449,DHL Express,6/13/2018
00825385746,Purolator,3/22/2013
00681774508,Freightera,9/10/2013
00882433473,Freightera,12/8/2019
00879789001,eShipper,5/10/2018
00467630965,Purolator,8/22/2014
00888142733,Purolator,4/14/2017
00820567943,Canada Post,12/3/2020
00363690214,DHL Express,10/29/2017
00592427896,eShipper,12/15/2017
00609542416,Purolator,8/24/2016
00666962577,Freightera,7/10/2020
00697518946,eShipper,3/16/2020
00437323165,eShipper,1/27/2013
00364950750,Canada Post,3/5/2017
00860661479,Purolator,5/15/2018
00291071781,Canpar Express,3/20/2014
00302020908,Freightera,12/16/2015
00994893606,Canada Post,11/29/2019
00123967292,DHL Express,10/8/2015
00946286563,Freightera,3/11/2014
00350036794,Freightera,5/3/2011
00710878715,eShipper,8/20/2012
00348311673,Purolator,5/13/2013
00580613282,eShipper,12/16/2020
00198226299,Canada Post,12/8/2020
00502289981,Purolator,5/17/2012
00158630264,Freightera,8/30/2014
00638314529,Canada Post,9/22/2016
00825673586,eShipper,10/22/2015
00748465613,eShipper,2/27/2019
00575576163,Freightera,8/15/2018
00311102705,Canpar Express,10/8/2011
00542398747,Canada Post,6/21/2012
00133416657,DHL Express,11/4/2020
00050323629,Canada Post,3/12/2012
00200119657,Canada Post,1/3/2018
00426259799,Canpar Express,9/11/2019
00668474652,Freightera,10/5/2015
00897539351,Purolator,1/28/2011
00592106311,DHL Express,7/28/2012
00840293922,DHL Express,9/13/2012
00204653558,Purolator,11/1/2020
00411041440,Canada Post,8/2/2016
00417653463,Purolator,12/24/2012
00520332624,Canada Post,8/5/2015
00589694267,DHL Express,1/9/2019
00868444594,Canada Post,8/9/2018
00599162226,Purolator,11/28/2018
00644121590,Freightera,1/28/2017
00919372531,Freightera,3/11/2017
00062246624,Canpar Express,10/4/2010
00831986002,Freightera,9/4/2012
00046563307,eShipper,10/13/2012
00216389681,DHL Express,9/15/2012
00917699144,Canada Post,1/13/2015
00269422118,Canada Post,3/18/2019
00732050192,Canada Post,11/5/2017
00930569338,DHL Express,7/29/2013
00147252898,Canada Post,11/11/2018
00687434219,Canpar Express,12/23/2020
00815940909,DHL Express,5/25/2016
00833137381,Purolator,10/6/2017
00781671755,Canada Post,6/3/2011
00066208379,eShipper,1/24/2016
00922524323,Canpar Express,2/17/2015
00761363976,eShipper,1/10/2020
00005247969,Purolator,4/16/2020
00814118638,Canada Post,7/14/2016
00424147132,Canpar Express,4/15/2017
00172931901,Purolator,2/9/2012
00000515614,Purolator,9/10/2015
00791774666,Freightera,10/16/2018
00122050344,eShipper,9/19/2013
00800670291,Canada Post,12/1/2013
00813084200,Canada Post,4/13/2013
00278519163,Canada Post,11/5/2019
00935276332,eShipper,2/10/2014
00754642042,DHL Express,4/7/2013
00653654417,Purolator,1/8/2014
00456915342,Canpar Express,7/3/2012
00572842616,Canpar Express,12/15/2020
00832584776,DHL Express,11/8/2020
00560850365,eShipper,7/20/2014
00980299269,Canada Post,8/12/2015
00404424603,Purolator,10/25/2018
00231203558,eShipper,11/6/2012
00616499935,Purolator,1/9/2013
00584044220,Canada Post,12/21/2018
00530038653,Freightera,5/3/2014
00208563666,eShipper,11/12/2017
00099007306,Canada Post,2/27/2013
00471869720,Purolator,5/20/2014
00491509476,Purolator,9/24/2021
00665466811,eShipper,7/9/2019
00158705169,Canada Post,1/15/2011
00478045192,Purolator,2/6/2015
00934431057,Canada Post,4/22/2016
00513449910,eShipper,7/25/2014
00624523531,Canpar Express,2/5/2015
00876676847,Canada Post,12/17/2015
00137687842,Freightera,4/24/2018
00739405906,Canada Post,4/24/2018
00933378746,eShipper,8/10/2017
00801484305,Purolator,12/17/2014
00948779293,Purolator,1/16/2017
00793773324,Purolator,9/8/2014
00870078349,Purolator,4/29/2012
00515769939,Freightera,4/25/2019
00066680765,Purolator,1/21/2014
00035556238,Purolator,8/8/2016
00730656062,Canpar Express,8/6/2015
00858400023,DHL Express,3/29/2015
00680226689,Canada Post,5/10/2018
00900633717,Freightera,9/3/2015
00392386053,Purolator,6/15/2012
00243083561,Canpar Express,12/15/2012
00305788991,Canada Post,7/5/2016
00176244618,Purolator,11/6/2012
00286130978,Canada Post,8/12/2018
00230419962,Freightera,3/31/2018
00718321081,Freightera,8/8/2013
00759194531,DHL Express,12/17/2012
00561696004,Canada Post,7/12/2012
00161012670,Purolator,4/1/2011
00736361865,DHL Express,5/3/2011
00410923621,Freightera,12/12/2010
00750088576,eShipper,11/19/2018
00864995613,DHL Express,5/28/2012
00476086173,eShipper,7/28/2011
00470949115,Canada Post,9/7/2015
00794363158,Freightera,10/21/2016
00706991300,Purolator,8/20/2016
00090646599,DHL Express,10/21/2011
00293156018,DHL Express,5/9/2013
00358529954,Freightera,5/15/2017
00240397313,Canpar Express,9/20/2013
00449395467,Freightera,6/25/2020
00585613491,Purolator,5/3/2015
00556065643,Canpar Express,9/20/2016
00816936831,Canpar Express,9/2/2015
00269527366,Purolator,1/26/2016
00611225983,Canada Post,11/11/2017
00664677909,Canada Post,12/26/2013
00753220056,Canpar Express,4/21/2012
00400249433,Canpar Express,12/17/2014
00392547085,Purolator,4/21/2014
00784143867,eShipper,3/10/2016
00805389533,Freightera,4/13/2012
00100635947,DHL Express,4/8/2012
00968956407,Purolator,5/20/2020
00676894409,Freightera,12/7/2015
00866547485,eShipper,8/12/2018
00022015922,DHL Express,4/2/2011
00968796500,Purolator,5/17/2011
00838134274,Freightera,11/21/2018
00253602785,Freightera,5/8/2016
00187018404,Purolator,12/18/2013
00711349793,Canada Post,11/9/2013
00992020845,Canpar Express,5/6/2011
00073882425,eShipper,2/1/2010
00266942666,Freightera,5/31/2013
00738069510,Canpar Express,11/1/2014
00964472562,Freightera,4/2/2016
00128532722,Canpar Express,12/27/2021
00621567273,eShipper,5/24/2017
00926898941,Purolator,5/12/2019
00565143227,Freightera,2/10/2021
00259187940,DHL Express,1/24/2020
00427956373,Canpar Express,8/18/2015
00467995399,DHL Express,9/24/2019
00858175346,Freightera,3/20/2021
00553552435,Canpar Express,7/30/2011
00894646522,Canada Post,7/15/2013
00664808760,eShipper,10/14/2020
00328761082,Freightera,2/24/2019
00006992702,Canada Post,7/6/2017
00675284272,Purolator,5/27/2021
00210895797,Canada Post,1/11/2013
00414405590,Canpar Express,7/24/2015
00557236232,Canada Post,3/18/2019
00870071434,Canada Post,9/21/2016
00143599947,eShipper,7/15/2018
00356168105,Freightera,12/19/2015
00224033210,DHL Express,12/30/2019
00206313147,Canpar Express,4/15/2018
00775311367,Purolator,6/20/2011
00621165061,Purolator,4/11/2017
00466408372,Freightera,4/26/2011
00894489644,Purolator,9/18/2015
00583971092,DHL Express,12/11/2011
00122819348,Freightera,11/21/2014
00438800517,DHL Express,4/3/2013
00329543359,Canada Post,6/2/2017
00387331232,DHL Express,6/20/2013
00891166406,Freightera,3/19/2012
00016673890,Purolator,4/22/2019
00132130525,Freightera,3/28/2011
00415058243,DHL Express,7/15/2011
00536814652,DHL Express,8/8/2015
00306815601,Freightera,9/22/2011
00779397946,eShipper,2/7/2016
00126765450,Canpar Express,12/18/2011
00386333536,Freightera,9/10/2015
00343131779,Purolator,4/14/2012
00022924953,Freightera,6/13/2011
00428173112,DHL Express,3/12/2019
00669672981,Freightera,7/27/2018
00824414985,Canada Post,12/9/2017
00432355686,Purolator,10/4/2013
00909514353,Canpar Express,8/10/2019
00129672469,Canada Post,11/22/2012
00740796436,Canpar Express,11/14/2015
00364229863,Freightera,12/3/2010
00695766271,Canpar Express,10/30/2013
00253837686,Canada Post,6/19/2014
00345916064,eShipper,11/1/2018
00807979056,Canada Post,10/25/2014
00354328171,Canpar Express,11/28/2014
00134857975,Purolator,5/11/2011
00129170546,Freightera,5/13/2021
00328352892,eShipper,10/29/2019
00616141386,eShipper,4/22/2015
00336979972,DHL Express,8/3/2020
00255200052,DHL Express,9/6/2014
00231241502,eShipper,11/30/2020
00174003426,Freightera,5/30/2016
00754682780,Purolator,7/28/2010
00094688295,DHL Express,10/24/2021
00563459659,Canada Post,2/1/2017
00612488017,Canpar Express,5/8/2019
00469377382,eShipper,1/30/2015
00764116852,Purolator,4/8/2016
00108753350,Purolator,4/17/2010
00537205920,Canada Post,1/25/2019
00342800369,Canpar Express,11/18/2010
00210304664,Freightera,5/11/2018
00257265673,eShipper,12/19/2016
00539785466,DHL Express,8/22/2017
00229715206,Freightera,4/7/2014
00482653533,Purolator,9/18/2015
00018421773,DHL Express,5/26/2019
00445321188,Canpar Express,1/25/2014
00462454311,Purolator,10/19/2017
00608532869,eShipper,7/12/2014
00277980228,Canpar Express,3/14/2016
00419042208,eShipper,2/13/2017
00006670931,DHL Express,12/27/2013
00401017419,Canada Post,9/26/2015
00010044303,DHL Express,9/3/2016
00860091336,Canada Post,2/23/2020
00243842764,Purolator,1/26/2021
00493985284,eShipper,5/12/2017
00318276004,eShipper,5/18/2012
00699493909,Freightera,4/19/2013
00984710673,Canada Post,12/4/2015
00314305240,eShipper,2/9/2010
00160746232,Freightera,7/23/2018
00791237559,Freightera,12/10/2014
00046088197,Canpar Express,9/9/2013
00764456758,Canada Post,1/19/2017
00285772158,DHL Express,5/30/2016
00559344153,eShipper,11/4/2018
00236242826,Purolator,5/21/2021
00869620194,Freightera,11/25/2021
00473155389,Freightera,11/20/2013
00273266512,Freightera,7/22/2017
00074377945,Purolator,11/6/2019
00654493084,eShipper,8/21/2018
00530685795,Canpar Express,11/10/2014
00973753004,eShipper,11/16/2014
00576240140,eShipper,9/28/2020
00652506629,Canada Post,8/8/2016
00492815072,eShipper,5/13/2018
00932850431,Purolator,9/16/2017
00253719144,Purolator,4/26/2014
00713414723,Canada Post,6/17/2019
00204098305,Canada Post,9/7/2010
00990719819,Freightera,4/17/2014
00324960611,Purolator,12/21/2016
00328062006,Purolator,11/20/2017
00080603680,eShipper,1/27/2013
00003758203,Canpar Express,3/27/2015
00021668000,eShipper,2/19/2012
00066553726,Canada Post,11/29/2018
00963937087,Canpar Express,7/12/2014
00899810966,Canada Post,5/20/2015
00824582661,Freightera,3/2/2018
00194000006,Freightera,11/13/2011
00429335031,Canpar Express,5/6/2017
00377944940,Purolator,5/12/2013
00780091621,Freightera,7/1/2013
00998693812,Freightera,5/5/2017
00107335189,Canada Post,2/9/2018
00222597181,Freightera,6/23/2012
00513740469,Canada Post,7/30/2019
00096832941,Canpar Express,6/9/2015
00879805102,eShipper,3/28/2011
00758058072,DHL Express,5/27/2020
00823982338,Freightera,9/27/2012
00889828866,Purolator,10/15/2013
00758470597,Canpar Express,12/19/2020
00006011474,DHL Express,6/25/2018
00623029703,Canpar Express,7/14/2020
00464152819,DHL Express,1/22/2010
00885485161,Freightera,8/10/2020
00386406164,eShipper,11/15/2018
00260069176,DHL Express,5/15/2015
00739312222,Purolator,10/13/2013
00705975234,Canada Post,8/16/2021
00293687579,DHL Express,9/26/2014
00831044095,Canada Post,4/22/2017
00726211308,DHL Express,8/3/2017
00064552747,Canada Post,8/19/2011
00693899365,Canada Post,8/31/2016
00133442960,Canada Post,5/28/2019
00190414080,Purolator,3/1/2021
00849784275,Purolator,11/18/2015
00989045375,Canpar Express,11/12/2015
00852002726,eShipper,8/12/2012
00195725749,Canpar Express,6/23/2013
00177840435,Purolator,2/13/2020
00931567707,DHL Express,4/8/2013
00652023438,Purolator,10/12/2016
00800333890,eShipper,7/21/2019
00435703388,DHL Express,11/22/2018
00823135243,Canada Post,12/6/2020
00726049501,Canpar Express,5/23/2016
00365519505,Purolator,10/19/2013
00340589906,DHL Express,4/27/2011
00287232944,Freightera,5/29/2017
00310204688,Purolator,3/2/2014
00460762225,eShipper,7/24/2010
00139640388,Freightera,8/22/2012
00085619350,Purolator,12/22/2020
00092060261,Freightera,9/9/2013
00511344667,Canada Post,3/6/2017
00233589652,Purolator,1/31/2015
00950905204,Freightera,1/23/2015
00552277377,eShipper,7/10/2014
00691561874,Canpar Express,3/8/2010
00849031617,Purolator,9/1/2018
00400836121,Freightera,4/5/2010
00151685763,DHL Express,8/8/2017
00725749069,eShipper,2/2/2020
00255996142,Canada Post,9/14/2020
00380955073,Purolator,11/20/2019
00517024441,DHL Express,8/15/2014
00718245481,Freightera,9/26/2011
00470953041,Purolator,2/21/2013
00250233407,DHL Express,7/26/2014
00390355676,DHL Express,6/13/2018
00948847180,Canpar Express,11/20/2012
00561846447,eShipper,3/9/2020
00209944865,Canpar Express,12/18/2021
00473900089,DHL Express,9/19/2017
00556775328,Purolator,8/15/2011
00104943923,eShipper,7/12/2011
00651929302,DHL Express,6/24/2021
00726747588,Canpar Express,10/17/2014
00148171481,eShipper,11/9/2011
00133540312,DHL Express,4/22/2012
00616220171,eShipper,4/30/2015
00554755753,Canada Post,1/21/2014
00022309650,Canada Post,10/22/2020
00750338668,Freightera,1/3/2012
00142340304,Freightera,1/22/2015
00192319543,Canada Post,7/28/2011
00687017894,DHL Express,8/11/2011
00194083385,DHL Express,4/20/2010
00966632967,Freightera,11/12/2015
00945188655,Canada Post,2/16/2019
00023584109,Purolator,12/14/2020
00317911049,Freightera,12/21/2012
00554459182,Freightera,3/20/2011
00884880813,DHL Express,12/22/2013
00826506536,DHL Express,7/30/2012
00759788641,Freightera,7/5/2018
00597198451,Canada Post,2/27/2013
00010467698,Purolator,8/22/2016
00869127466,Canpar Express,6/12/2013
00280257892,DHL Express,5/20/2012
00783994343,DHL Express,5/21/2012
00742577346,Freightera,8/1/2014
00221935788,eShipper,9/1/2018
00080957819,Canada Post,3/11/2015
00287173652,Canpar Express,10/23/2016
00388858514,Canpar Express,1/28/2019
00484541861,eShipper,6/26/2016
00008353758,Canada Post,7/30/2018
00193578622,eShipper,9/23/2013
00968692135,Canpar Express,5/24/2012
00256306984,eShipper,5/29/2016
00738092695,Freightera,12/6/2020
00025577460,eShipper,10/8/2020
00150096666,Canpar Express,3/17/2012
00357371748,Freightera,7/29/2014
00351968647,Canada Post,3/19/2015
00751315696,Freightera,4/19/2017
00313146722,Canpar Express,11/13/2016
00248591084,Canada Post,7/11/2014
00810104086,Freightera,8/12/2017
00021384763,Freightera,10/24/2014
00552324874,DHL Express,4/8/2017
00261735166,Freightera,4/17/2020
00172328016,Freightera,9/7/2011
00859217025,eShipper,8/3/2014
00847489596,Purolator,7/2/2019
00027527533,Canada Post,12/20/2020
00444907937,DHL Express,11/2/2012
00673774565,eShipper,2/1/2018
00484821145,Freightera,12/7/2017
00832587779,Freightera,2/24/2021
00264937604,DHL Express,2/13/2017
00558281234,DHL Express,7/11/2015
00498925027,Freightera,11/21/2020
00251651768,Canada Post,10/5/2013
00038191472,Canada Post,7/25/2018
00606917926,DHL Express,2/5/2018
00798501977,Purolator,11/7/2011
00058348048,Canada Post,8/20/2017
00061953095,DHL Express,12/17/2016
00165414040,eShipper,10/13/2016
